Date,Clicks,Impressions,CTR,Position
2023-12-10,1285,114469,1.12%,18.88
2023-12-09,1179,105056,1.12%,18.78
2023-12-08,1083,90502,1.2%,19.15
2023-12-07,1096,96177,1.14%,18.86
2023-12-06,1162,96867,1.2%,18.48
2023-12-05,1251,100492,1.24%,17.69
2023-12-04,1334,108594,1.23%,18.27
2023-12-03,1516,120473,1.26%,17.25
2023-12-02,1527,116656,1.31%,18.35
2023-12-01,1259,100699,1.25%,18.86
2023-11-30,1273,100305,1.27%,17.4
2023-11-29,1119,96769,1.16%,17.31
2023-11-28,1134,100609,1.13%,18.25
2023-11-27,1282,112172,1.14%,17.16
2023-11-26,1499,129200,1.16%,16.73
2023-11-25,1313,119526,1.1%,17.55
2023-11-24,1339,111833,1.2%,17.2
2023-11-23,1132,103328,1.1%,18.68
2023-11-22,1129,98754,1.14%,19.04
2023-11-21,1097,99376,1.1%,19.38
2023-11-20,1036,104575,0.99%,19.44
2023-11-19,1204,112483,1.07%,18.4
2023-11-18,1140,105859,1.08%,18.98
2023-11-17,940,98256,0.96%,20.13
2023-11-16,881,93263,0.94%,20.19
2023-11-15,888,92143,0.96%,20.43
2023-11-14,906,94870,0.95%,19.99
2023-11-13,952,97574,0.98%,20.68
2023-11-12,1032,102830,1%,19.01
2023-11-11,928,93030,1%,19.84
2023-11-10,820,88026,0.93%,20.54
2023-11-09,877,94856,0.92%,20.87
2023-11-08,806,86336,0.93%,20.33
2023-11-07,856,87633,0.98%,20.19
2023-11-06,919,94131,0.98%,19.98
2023-11-05,990,100550,0.98%,19.6
2023-11-04,938,97310,0.96%,20.2
2023-11-03,793,83514,0.95%,20.98
2023-11-02,807,90483,0.89%,21.04
2023-11-01,736,80976,0.91%,20.92
2023-10-31,744,75684,0.98%,20.47
2023-10-30,722,77384,0.93%,19.36
2023-10-29,844,82960,1.02%,18.66
2023-10-28,741,80349,0.92%,19.11
2023-10-27,695,74440,0.93%,19.41
2023-10-26,691,87949,0.79%,20.63
2023-10-25,699,80384,0.87%,19.39
2023-10-24,680,76142,0.89%,19.44
2023-10-23,674,78253,0.86%,19.36
2023-10-22,760,77745,0.98%,18.39
2023-10-21,660,80130,0.82%,19.55
2023-10-20,602,70889,0.85%,20.18
2023-10-19,647,74232,0.87%,20.76
2023-10-18,664,73401,0.9%,20.25
2023-10-17,706,76287,0.93%,20.49
2023-10-16,757,85780,0.88%,20.4
2023-10-15,751,86608,0.87%,20.09
2023-10-14,600,83261,0.72%,20.7
2023-10-13,566,70595,0.8%,21.2
2023-10-12,531,70918,0.75%,21.78
2023-10-11,516,67164,0.77%,21.52
2023-10-10,505,64825,0.78%,21.78
2023-10-09,527,74460,0.71%,22.2
2023-10-08,654,76941,0.85%,21.35
2023-10-07,605,67970,0.89%,20.92
2023-10-06,566,66397,0.85%,22.13
2023-10-05,590,66809,0.88%,21.36
2023-10-04,565,66537,0.85%,21.6
2023-10-03,588,68566,0.86%,21.77
2023-10-02,635,70839,0.9%,21.21
2023-10-01,752,79570,0.95%,20.46
2023-09-30,722,71863,1%,20.07
2023-09-29,551,62784,0.88%,21
2023-09-28,591,68628,0.86%,20.57
2023-09-27,612,76884,0.8%,20.52
2023-09-26,545,64454,0.85%,21.96
2023-09-25,563,65969,0.85%,22
2023-09-24,650,73516,0.88%,20.47
2023-09-23,632,68342,0.92%,20.99
2023-09-22,557,61038,0.91%,22.28
2023-09-21,520,61493,0.85%,22.06
2023-09-20,537,61793,0.87%,21.94
2023-09-19,560,65563,0.85%,22.32
2023-09-18,493,66270,0.74%,22.72
2023-09-17,581,69355,0.84%,21.93
2023-09-16,564,61164,0.92%,22.02
2023-09-15,477,55972,0.85%,22.73
2023-09-14,463,60333,0.77%,23.59
2023-09-13,462,56823,0.81%,23.83
2023-09-12,484,55492,0.87%,23.25
2023-09-11,454,57098,0.8%,24.56
2023-09-10,478,64376,0.74%,24.53
2023-09-09,336,55519,0.61%,25.2
2023-09-08,358,50557,0.71%,26.14
2023-09-07,388,50438,0.77%,25.19
2023-09-06,313,52763,0.59%,25.75
2023-09-05,336,57298,0.59%,26.72
2023-09-04,385,56495,0.68%,25.37
2023-09-03,440,62552,0.7%,24.73
2023-09-02,434,57491,0.75%,23.7
2023-09-01,431,56636,0.76%,23.13
2023-08-31,498,56829,0.88%,21.61
2023-08-30,449,54062,0.83%,21.6
2023-08-29,477,54990,0.87%,21.71
2023-08-28,519,57705,0.9%,21.47
2023-08-27,504,56015,0.9%,21.43
2023-08-26,453,50161,0.9%,20.51
2023-08-25,414,44965,0.92%,19.36
2023-08-24,242,32529,0.74%,21.86
2023-08-23,197,23030,0.86%,25.65
2023-08-22,199,23578,0.84%,25.7
2023-08-21,195,24628,0.79%,26.68
2023-08-20,183,25193,0.73%,26.7
2023-08-19,188,23935,0.79%,25.75
2023-08-18,195,23716,0.82%,26.13
2023-08-17,169,23006,0.73%,26.76
2023-08-16,190,23832,0.8%,26.43
2023-08-15,218,25735,0.85%,26.5
2023-08-14,225,27550,0.82%,26.77
2023-08-13,203,30348,0.67%,26.96
2023-08-12,214,26446,0.81%,27.5
2023-08-11,155,25257,0.61%,28.32
2023-08-10,345,41036,0.84%,23.03
2023-08-09,349,53941,0.65%,23.42
2023-08-08,410,49945,0.82%,22.54
2023-08-07,386,50046,0.77%,23.43
2023-08-06,451,52562,0.86%,23.18
