Style,,Colour,,,,Size,,Description,,,Category,,PLU,Unit Cost,Unit Retail,Units,Total Cost,Total Retail
40916 01 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002472700,130.00,338.00,0,0.00,0.00
40956 01 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002470600,141.00,366.60,0,0.00,0.00
41416 01 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002486200,127.00,330.20,1,127.00,330.20
41416 79 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002475200,92.00,239.20,0,0.00,0.00
41425 79 61 NH,,GREEN MOSS/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002489000,141.00,366.60,0,0.00,0.00
41426 79 5F NH,,DUSTY ROSE/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002491600,81.00,210.60,0,0.00,0.00
41435 79 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002488100,158.00,410.80,0,0.00,0.00
41436 79 2C NH,,HAVANA/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002477700,88.00,228.80,0,0.00,0.00
41456 01 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002472800,160.00,416.00,0,0.00,0.00
41456 79 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002472900,117.00,304.20,0,0.00,0.00
41456 79 5F NH,,DUSTY ROSE/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002491700,117.00,304.20,0,0.00,0.00
41466 79 2C NH,,HAVANA/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002477800,82.00,213.20,1,82.00,213.20
41476 79 5B NH,,PUMPKIN/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002488200,90.00,234.00,0,0.00,0.00
41496 79 14 NH,,BROWN,,,,NA,,RUCKSACK/BACKPACK 2017,,,LUGGAGE,,0002566900,130.00,338.00,1,130.00,338.00
41506 79 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002471600,94.00,244.40,1,94.00,244.40
41526 79 5F NH,,DUSTY ROSE/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002479300,54.00,140.40,0,0.00,0.00
42706 01 6D NH,,BROWN/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002492000,214.00,556.40,0,0.00,0.00
43507 79 2E NH,,RED CURRENT/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002480700,89.00,231.40,0,0.00,0.00
43516 79 2E NH,,RED CURRENT/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002476900,61.00,158.60,1,61.00,158.60
43556 79 2E NH,,RED CURRENT/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002477300,120.00,312.00,0,0.00,0.00
43566 79 2E NH,,RED CURRENT/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002477400,102.00,265.20,1,102.00,265.20
43636 01 6A NH,,BLUE/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002483100,112.00,291.20,1,112.00,291.20
43646 01 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002486300,125.00,325.00,0,0.00,0.00
43676 01 6A NH,,BLUE/GOLD,,,,NA,,RUCKSACK/BACKPACK 2017,,,LUGGAGE,,0002567000,170.00,442.00,0,0.00,0.00
43945 79 2E NH,,RED CURRENT/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002480200,67.00,174.20,0,0.00,0.00
43956 79 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002470700,79.00,205.40,0,0.00,0.00
44208 01 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002482400,327.00,"1,268.80",0,0.00,0.00
44221 01 14 NH,,BROWN,,,,NA,,RUCKSACK/BACKPACK 2017,,,LUGGAGE,,0002564900,158.00,410.80,0,0.00,0.00
44243 01 58 NH,,CHIANTI RED,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002482500,164.00,426.40,0,0.00,0.00
44253 01 09 NH,,IRON BLUE,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002486800,131.00,340.60,1,131.00,340.60
44283 01 58 NH,,CHIANTI RED,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002491200,125.00,325.00,0,0.00,0.00
44325 79 2E NH,,RED CURRENT/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002480300,97.00,252.20,0,0.00,0.00
44361 79 09 NH,,IRON BLUE,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002476600,91.00,236.60,0,0.00,0.00
44375 79 2E NH,,RED CURRENT/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002488300,88.00,228.80,0,0.00,0.00
44725 01 14 NH,,BROWN,,,,NA,,SATCHEL 2017,,,MAN BAG,,0002499200,170.00,442.00,0,0.00,0.00
44746 01 30 NH,,BLACK/GOLDEN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002488400,158.00,410.80,0,0.00,0.00
44805 01 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002473400,112.00,291.20,0,0.00,0.00
44815 01 5B NH,,PUMPKIN/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002479400,123.00,319.80,1,123.00,319.80
45506 01 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002472300,75.00,195.00,0,0.00,0.00
46360 01 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002473900,276.00,717.60,1,276.00,717.60
50006 85 4Y NH,,FRENCH BLUE/RUTHENIUM,,,,NA,,SATCHEL 2017,,,MESSENGER,,0002484100,129.00,335.40,1,129.00,335.40
50016 85 4Y NH,,FRENCH BLUE/RUTHENIUM,,,,NA,,SATCHEL 2017,,,MESSENGER,,0002484200,131.00,340.60,0,0.00,0.00
51506 3Q 5Z NH,,BLACK/BRN/GUNMETAL,,,,NA,,manbag,,,MAN BAG,,0002930500,0.00,179.40,0,0.00,0.00
52254 01 58 NH,,CHIANTI RED,,,,NA,,SATCHEL 2017,,,MAN BAG,,0002498700,198.00,514.80,0,0.00,0.00
52538 01 14 NH,,BROWN,,,,NA,,MANBAG 2017,,,MAN BAG,,0002554900,77.50,201.50,0,0.00,0.00
53606 01 14 NH,,BROWN,,,,NA,,MANBAG 2017,,,MAN BAG,,0002553600,91.00,236.60,0,0.00,0.00
53606 01 6B NH,,BLUE/RUTHENIUM,,,,NA,,MANBAG 2017,,,MAN BAG,,0002553800,91.00,236.60,0,0.00,0.00
54013 79 11 NH,,DOVE GREY,,,,NA,,MANBAG 2017,,,MAN BAG,,0002560200,58.00,150.80,0,0.00,0.00
54043 79 14 NH,,BROWN,,,,NA,,MANBAG 2017,,,MAN BAG,,0002560400,72.00,187.20,1,72.00,187.20
54063 79 11 NH,,DOVE GREY,,,,NA,,SATCHEL 2017,,,MAN BAG,,0002499000,84.00,218.40,1,84.00,218.40
54073 01 09 NH,,IRON BLUE,,,,NA,,SATCHEL 2017,,,MAN BAG,,0002499900,129.00,335.40,1,129.00,335.40
54116 79 4Y NH,,FRENCH BLUE/RUTHENIUM,,,,NA,,MANBAG 2017,,,MAN BAG,,0002556500,82.00,213.20,0,0.00,0.00
54126 79 2B NH,,HAVANA,,,,NA,,SATCHEL 2017,,,MAN BAG,,0002498200,107.00,278.20,0,0.00,0.00
54136 79 4Y NH,,FRENCH BLUE/RUTHENIUM,,,,NA,,SATCHEL 2017,,,MAN BAG,,0002498300,112.00,291.20,1,112.00,291.20
60016 85 4Y NH,,FRENCH BLUE/RUTHENIUM,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002482100,145.00,377.00,1,145.00,377.00
61045 01 14 NH,,BROWN,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002493500,183.00,475.80,1,183.00,475.80
61205 01 4B NH,,MOSS GREEN/RUTHENIUM,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002495300,201.00,522.60,1,201.00,522.60
61235 01 4B NH,,MOSS GREEN/RUTHENIUM,,,,NA,,RUCKSACK/BACKPACK 2017,,,LUGGAGE,,0002565800,242.00,629.20,1,242.00,629.20
61245 01 90 NH,,BROWN/RUTHENIUM,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002487400,248.00,644.80,0,0.00,0.00
61255 01 4B NH,,MOSS GREEN/RUTHENIUM,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002568300,262.00,681.20,1,262.00,681.20
61516 05 5Z NH,,BLACK/BRN/GUNMETAL,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002497500,127.00,330.20,0,0.00,0.00
61526 3Q 5Z NH,,BLACK/BRN/GUNMETAL,,,,NA,,luggage holdall,,,LUGGAGE,,0002930400,0.00,429.00,0,0.00,0.00
62244 01 58 NH,,CHIANTI RED,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002486900,259.00,673.40,0,0.00,0.00
62507 01 14 NH,,BROWN,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002492400,166.00,431.60,1,166.00,431.60
63616 01 20 NH,,BLACK,,,,NA,,RUCKSACK/BACKPACK 2017,,,LUGGAGE,,0002567100,189.00,491.40,0,0.00,0.00
63616 01 69 NH,,BROWN/PALLADIUM,,,,NA,,RUCKSACK/BACKPACK 2017,,,LUGGAGE,,0002567700,189.00,491.40,1,189.00,491.40
63616 01 6B NH,,BLUE/RUTHENIUM,,,,NA,,RUCKSACK/BACKPACK 2017,,,LUGGAGE,,0002567800,189.00,491.40,1,189.00,491.40
64013 01 09 NH,,IRON BLUE,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002491400,151.00,392.60,0,0.00,0.00
64136 79 4Y NH,,FRENCH BLUE/RUTHENIUM,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002568400,135.00,351.00,0,0.00,0.00
64195 01 14 NH,,BROWN,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002493600,298.00,774.80,0,0.00,0.00
64205 01 14 NH,,BROWN,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002492500,174.00,452.40,0,0.00,0.00
64215 01 14 NH,,BROWN,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002494500,177.00,460.20,1,177.00,460.20
64225 01 14 NH,,BROWN,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002494600,180.00,468.00,1,180.00,468.00
64269 01 27 NH,,DARK BRN/NICKEL,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002495000,167.00,434.20,0,0.00,0.00
64479 01 17 NH,,DARK-BROWN,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002495100,284.00,738.40,0,0.00,0.00
64659 01 14 NH,,BROWN,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002493300,209.00,543.40,0,0.00,0.00
64665 01 14 NH,,BROWN,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002493700,211.00,548.60,1,211.00,548.60
68105 01 14 NH,,BROWN,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002495500,231.00,600.60,1,231.00,600.60
68310 01 17 NH,,DARK-BROWN,,,,NA,,BRIEFCASE 2017,,,BRIEFCASE,,0002496300,204.00,530.40,0,0.00,0.00
70006 85 4Y NH,,FRENCH BLUE/RUTHENIUM,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002568500,168.00,436.80,1,168.00,436.80
71206 01 20 NH,,BLACK,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002568700,316.00,821.60,0,0.00,0.00
71215 01 4B NH,,MOSS GREEN/RUTHENIUM,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002568800,317.00,824.20,0,0.00,0.00
72314 26 1V NH,,BLUE/GUNMETAL,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002568900,219.00,569.40,1,219.00,569.40
74009 01 14 NH,,BROWN,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002488700,370.00,962.00,1,370.00,962.00
74023 79 11 NH,,DOVE GREY,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002571300,140.00,364.00,1,140.00,364.00
74105 01 14 NH,,BROWN,,,,NA,,LUGGAGE 2017,,,LUGGAGE,,0002569100,320.00,832.00,0,0.00,0.00
76862 51 14 NH,,TOBACCO/DARK BRN,,,,NA,,trolley,,,LUGGAGE,,0002933300,0.00,589.00,0,0.00,0.00
91316 05 5Z NH,,BLACK/BRN/GUNMETAL,,,,NA,,ACCESSORIES 2017,,,ACCESSORIES,,0002578100,20.00,52.00,1,20.00,52.00
91326 05 5Z NH,,BLACK/BRN/GUNMETAL,,,,NA,,ACCESSORIES 2017,,,ACCESSORIES,,0002578200,19.00,49.40,1,19.00,49.40
91426 79 5F NH,,DUSTY ROSE/GOLD,,,,NA,,HANDBAG 2017,,,HANDBAGS,,0002479200,29.00,75.40,1,29.00,75.40
