reference,ean,mpn,upc,product_id,parent_product_id,stock,total_sold,stock_cost_ex,stock_cost_inc,cost_price_import_tax,actual_cost_price_ex,actual_cost_price_inc,price_inc,price_ex,price_sale_inc,price_sale_ex,price_rrp_inc,price_rrp_ex,cost_price_inc,cost_price_ex,name,title,parent_title,parent_reference,attribute_summary,model,product_url,num_sold_period,avg_sold_period,weeks_cover,bundled
0004556902,,,,20265,6828,8,,,,,,,29.990,24.992,29.990,24.992,0.000,0.000,,,ASHWOOD,"Mens Leather Belt Navy: MB-109","Mens Leather Belt Navy: MB-109",00045569,"Size: L/XL",MB-109,mens-c4/mens-leather-belts-c49/mens-leather-belt-navy-mb-109-p6828,0,0,0,N
0004558600,5060999700423,,,20280,6841,8,,,,,,,99.000,82.500,99.000,82.500,0.000,0.000,,,ASHWOOD,"Vittoria Croc Print Leather Shoulder Bag Black/croc: MC4","Vittoria Croc Print Leather Shoulder Bag Black/croc: MC4",00045586,"Size: One Size","mc 4",ladies-c3/handbags-c10/vittoria-croc-print-leather-shoulder-bag-black-croc-mc4-p6841,0,0,0,N
0004596400,,,,20746,6997,8,,,,,,,40.000,33.333,40.000,33.333,0.000,0.000,,,ASHWOOD,"Ashwood Leather Crossbody Smart Phone Bag Tan: Z-71","Ashwood Leather Crossbody Smart Phone Bag Tan: Z-71",00045964,"Size: One Size",z-71,handbags-c6/ashwood-leather-crossbody-smart-phone-bag-tan-z-71-p6997,8,0.15,52,N
0004615800,5060999709303,,,20819,7066,8,,,,,,,35.000,29.167,35.000,29.167,0.000,0.000,,,GABICCI,"Gabicci Leather 6 Card Billfold Wallet Tan: GB-804","Gabicci Leather 6 Card Billfold Wallet Tan: GB-804",00046158,"Size: One Size",gb-804,gift-accessories-c8/wallets-c16/gabicci-leather-6-card-billfold-wallet-tan-gb-804-p7066,1,0.02,417,N
0004638805,,,,20904,7079,8,,,,,,,199.000,165.833,149.000,124.167,0.000,0.000,,,MONOMOI,"Mens Side Zip Leather Biker Jacket Black: Harley","Mens Side Zip Leather Biker Jacket Black: Harley",00046388,"Size: L",harley,mens-c4/leather-jackets-c25/biker-styles-c97/mens-side-zip-leather-biker-jacket-black-harley-p7079,0,0,0,N
0004295202,,,,21475,6003,8,,,,,,,55.000,45.830,55.000,45.830,0.000,0.000,,,Fenland,00042952,"Fenland Ladies Sheepskin Crossover Slippers Grey: FCS",00042952,"Size: 7/8","LADIES CROSSOVER",ladies-c3/fenland-ladies-sheepskin-crossover-slippers-grey-fcs-p6003,0,0,0,N
0004791801,5060999709402,,,21638,7281,8,,,,,,,44.950,37.458,44.950,37.458,0.000,0.000,,,GABICCI,"Men's Leather Gloves Black/grey: GB-525","Men's Leather Gloves Black/grey: GB-525",00047918,"Size: M/L",gb-525,gift-accessories-c8/mens-gloves-c37/mens-leather-gloves-black-grey-gb-525-p7281,4,0.08,104,N
0004793002,5061027910029,,,21651,7285,8,,,,,,,44.950,37.458,44.950,37.458,0.000,0.000,,,GABICCI,"Men's Leather Gloves Black/tan: GB-535","Men's Leather Gloves Black/tan: GB-535",00047930,"Size: L/XL",gb-535,gift-accessories-c8/mens-gloves-c37/mens-leather-gloves-black-tan-gb-535-p7285,0,0,0,N
0004824600,,,,22035,7507,8,,,,,,,45.000,37.500,45.000,37.500,0.000,0.000,,,ASHWOOD,"Ashwood Ladies Leather Phonebag/Purse Honey: T-80","Ashwood Ladies Leather Phonebag/Purse Honey: T-80",00048246,"Size: One Size",t-80,ladies-c3/leather-handbags-c10/ashwood-ladies-leather-phonebag-purse-honey-t-80-p7507,1,0.02,417,N
0004824100,,,,22056,7528,8,,,,,,,29.950,24.958,29.950,24.958,0.000,0.000,,,ASHWOOD,"8 Card Zip Around RFID Protected Large Leather Purse Black: T-90","8 Card Zip Around RFID Protected Large Leather Purse Black: T-90",00048241,"Size: One Size",t-90,ladies-c3/purses-c22/8-card-zip-around-rfid-protected-large-leather-purse-black-t-90-p7528,1,0.02,417,N
0004843100,,,,22224,7582,8,,,,,,,4.990,4.158,4.990,4.158,0.000,0.000,,,HEWITTS,"Hewitts H/H Applicator Brush Black","Hewitts H/H Applicator Brush Black",00048431,"Size: One Size","h/h applicator brush",gift-accessories-c8/cleaning-products-c40/hewitts-h-h-applicator-brush-black-p7582,1,0.02,417,N
0004903000,,,,22809,7769,8,,,,,,,29.990,24.992,29.990,24.992,0.000,0.000,,,ASHWOOD,"Men's Small Fitting 8 Panel Leather Flat Cap Black: E19-192","Men's Small Fitting 8 Panel Leather Flat Cap Black: E19-192",00049030,"Size: One Size",e19-192,gift-accessories-c8/hats-c44/mens-small-fitting-8-panel-leather-flat-cap-black-e19-192-p7769,1,0.02,417,N
0004955901,,,,23257,8009,8,,,,,,,55.000,45.833,55.000,45.833,0.000,0.000,,,Fenland,"Fenland Ladies Sheepskin Crossover Slippers Natural: FCS","Fenland Ladies Sheepskin Crossover Slippers Natural: FCS",00049559,"Size: 5/6","LADIES CROSSOVER",ladies-c3/fenland-ladies-sheepskin-crossover-slippers-natural-fcs-p8009,3,0.06,139,N
0000908003,,,,967,177,7,,,,,,,29.990,24.992,29.990,24.992,0.000,0.000,,,ASHWOOD,"Leather Gloves 710 Gray","Mens Leather Gloves Gray : 710",00009080,"Size: S",710,gift-accessories-c8/mens-gloves-c37/mens-leather-gloves-gray-710-p177,0,0,0,N
0000319703,,,,981,178,7,,,,,,,29.990,24.992,29.990,24.992,0.000,0.000,,,ASHWOOD,"Leather Gloves 710 Tan","Mens Leather Gloves Tan : 710",00003197,"Size: S",710,gift-accessories-c8/mens-gloves-c37/mens-leather-gloves-tan-710-p178,1,0.02,365,N
0001366407,,,,1246,233,7,,,,,,,149.000,124.167,149.000,124.167,0.000,0.000,,,ASHWOOD,"Edinburgh Black Leather Jacket","Leather Jacket Black : Edinburgh",00013664,"Size: 2XL",1895,mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233,4,0.08,91,N
0001621607,,,,1311,239,7,,,,,,,189.000,157.500,189.000,157.500,0.000,0.000,,,ASHWOOD,"Soltau Tan Leather Biker Jacket","Leather Biker Jacket Tan : Soltau",00016216,"Size: 2XL",2296,mens-c4/leather-jackets-c25/leather-biker-jacket-tan-soltau-p239,1,0.02,365,N
0000209103,,,,1761,289,7,,,,,,,29.990,24.992,29.990,24.992,0.000,0.000,,,ASHWOOD,"Leather Gloves 401 Red","Leather Gloves Red : 401",00002091,"Size: S",401,gift-accessories-c8/ladies-gloves-c38/ashwood-gloves-leather-gloves-red-401-p289,3,0.06,121,N
0001910203,,,,1804,308,7,,,,,,,179.000,149.167,179.000,149.167,0.000,0.000,,,ASHWOOD,"Kore Black Leather Jacket","Leather Jacket Black : Kore",00019102,"Size: 12",JESSY-2,ladies-c3/leather-jackets-c9/leather-jacket-black-kore-p308,1,0.02,365,N
0001369210,,,,2680,235,7,,,,,,,199.000,165.833,199.000,165.833,0.000,0.000,,,ASHWOOD,"Edinburgh Timber Leather Jacket","Leather Jacket Nevada Timber : Edinburgh",00013692,"Size: 5XL",1895,mens-c4/leather-jackets-c25/leather-jacket-nevada-timber-edinburgh-p235,1,0.02,365,N
0001322300,,,,4059,592,7,,,,,,,45.000,37.500,45.000,37.500,0.000,0.000,,,ASHWOOD,"Leather Hanging Wash Bag 89145 Brown","Mens Leather Hanging Wash Bag Brown : 89145",00013223,"Size: One Size",89145,mens-c4/man-bags-briefcases-c12/ashwood-mens-leather-hanging-wash-bag-brown-89145-p592,13,0.25,28,N
0002303300,,,,4122,655,7,,,,,,,85.000,70.833,85.000,70.833,0.000,0.000,,,ASHWOOD,"3 Pocket Medium Leather Messenger Bag - 4552 - Tan","Mens 3 Pocket Medium Leather Messenger Bag Tan : 4552",00023033,"Size: One Size",4552,mens-c4/man-bags-briefcases-c12/mens-3-pocket-medium-leather-messenger-bag-tan-4552-p655,16,0.31,23,N
0002039806,,,,4425,817,7,,,,,,,649.000,540.833,649.000,540.833,729.000,607.500,,,ASHWOOD,"Sheepskin Flying Jacket Brn/cream : Luan","Sheepskin Flying Jacket Brn/cream : Luan",00020398,"Size: XL",KE-184,mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-brn-cream-luan-p817,0,0,0,N
0002166603,,,,5475,288,7,,,,,,,29.990,24.992,29.990,24.992,0.000,0.000,,,ASHWOOD,"Leather Gloves 401 Navy","Leather Gloves Navy : 401",00021666,"Size: S",401,gift-accessories-c8/ladies-gloves-c38/ashwood-leather-gloves-navy-401-p288,0,0,0,N
0000391501,,,,5583,1000,7,,,,,,,159.000,132.500,159.000,132.500,0.000,0.000,,,ASHWOOD,"Leather Jacket Black/app : Marabelle","Leather Jacket Black/app : Marabelle",00003915,"Size: 8",ANGELA,ladies-c3/leather-jackets-c9/leather-jacket-black-app-marabelle-p1000,0,0,0,N
0001838207,,,,5605,1002,7,,,,,,,199.000,165.833,199.000,165.833,0.000,0.000,,,ASHWOOD,"Leather Jacket Cognac/nap : Marabelle","Leather Jacket Cognac/nap : Marabelle",00018382,"Size: 20",ANGELA,ladies-c3/leather-jackets-c9/leather-jacket-cognac-nap-marabelle-p1002,0,0,0,N
0000943502,,,,5608,1003,7,,,,,,,99.990,83.325,99.990,83.325,0.000,0.000,,,ASHWOOD,"Leather Waistcoat Black : Tudor   ","Leather Waistcoat Black : Tudor   ",00009435,"Size: XS","MEN VEST",mens-c4/mens-waistcoats-c58/leather-waistcoat-black-tudor-p1003,0,0,0,N
0001865804,,,,7176,1458,7,,,,,,,139.000,115.833,139.000,115.833,0.000,0.000,,,ASHWOOD,"Leather Jacket Tan/nap : Alana","Leather Jacket Tan/nap : Alana",00018658,"Size: 14","NIBI 2",ladies-c3/leather-jackets-c9/leather-jacket-tan-nap-alana-p1458,0,0,0,N
0000071400,,,,7649,1589,7,,,,,,,149.000,124.167,129.000,107.500,0.000,0.000,,,ASHWOOD,"Leather Briefcase 8190 Chestnut/vt :  8190","Leather Briefcase 8190 Chestnut/vt :  8190",00000714,"Size: One Size",8190,luggage-c7/manbags-briefcases-c64/leather-briefcase-8190-chestnut-vt-8190-p1589,11,0.21,33,N
0000717305,,,,7749,1627,7,,,,,,,149.000,124.167,149.000,124.167,0.000,0.000,,,ASHWOOD,"Fitted Leather Gilet With Faux Fur Collar Brown/snu : Cumbria","Fitted Leather Gilet With Faux Fur Collar Brown/snu : Cumbria",00007173,"Size: 16","IT GILLET",ladies-c3/ladies-waistcoats-c47/fitted-leather-gilet-with-faux-fur-collar-brown-snu-cumbria-p1627,1,0.02,365,N
0000270704,,,,7957,1644,7,,,,,,,29.990,24.992,29.990,24.992,0.000,0.000,,,ASHWOOD,"Stitch Detail Leather Gloves Red : 733","Stitch Detail Leather Gloves Red : 733",00002707,"Size: M",733,ladies-c3/accessories-c24/gloves-c102/ashwood-stitch-detail-leather-gloves-red-733-p1644,4,0.08,91,N
0002884200,,,,8164,1671,7,,,,,,,34.990,29.158,34.990,29.158,0.000,0.000,,,ASHWOOD,"Touch Screen Friendly Two Tone Leather Gloves Black/Black :  137","Touch Screen Friendly Two Tone Leather Gloves Black/Black :  137",00028842,"Size: S",137,ladies-c3/accessories-c24/gloves-c102/ashwood-touch-screen-friendly-two-tone-leather-gloves-black-black-137-p1671,1,0.02,365,N
0002896200,,,,8237,1696,7,,,,,,,29.990,24.992,29.990,24.992,0.000,0.000,,,ASHWOOD,"Zip And Stitch Detail Leather Gloves Taupe : 373","Zip And Stitch Detail Leather Gloves Taupe : 373",00028962,"Size: S",373,ladies-c3/accessories-c24/gloves-c102/ashwood-zip-and-stitch-detail-leather-gloves-taupe-373-p1696,0,0,0,N
0002905603,,,,8257,1702,7,,,,,,,29.990,24.992,29.990,24.992,0.000,0.000,,,ASHWOOD,"Leather Gloves Taupe : 401","Leather Gloves Taupe : 401",00029056,"Size: S",401,ladies-c3/accessories-c24/gloves-c102/ashwood-leather-gloves-taupe-401-p1702,1,0.02,365,N
0002887401,,,,8408,1710,7,,,,,,,34.990,29.158,34.990,29.158,0.000,0.000,,,ASHWOOD,"Touch Screen Friendly Leather Gloves Black : 821","Touch Screen Friendly Leather Gloves Black : 821",00028874,"Size: M",821,gift-accessories-c8/mens-gloves-c37/touch-screen-friendly-leather-gloves-black-821-p1710,3,0.06,121,N
0001045913,,,,9602,2359,7,,,,,,,160.000,133.333,160.000,133.333,0.000,0.000,,,ASHWOOD,"Leather Waistcoat Mid Brown/app : Tudor","Leather Waistcoat Mid Brown/app : Tudor  ",00010459,"Size: 8XL","MEN VEST",mens-c4/leather-waistcoat-mid-brown-app-tudor-p2359,1,0.02,365,N
0003177700,5060474522076,,,9633,2390,7,,,,,,,79.990,66.658,59.992,49.993,0.000,0.000,,,ASHWOOD,"Leather Vintage Medium Flight Shoulder Bag Brandy : F-82","Leather Vintage Medium Flight Shoulder Bag Brandy : F-82",00031777,"Size: One Size",F-82,luggage-c7/manbags-briefcases-c64/leather-vintage-medium-flight-shoulder-bag-brandy-f-82-p2390,15,0.29,24,N
0003177600,5060474522083,,,9634,2391,7,,,,,,,79.990,66.658,59.992,49.993,0.000,0.000,,,ASHWOOD,"Leather Vintage Medium Flight Shoulder Bag Tan : F-82","Leather Vintage Medium Flight Shoulder Bag Tan : F-82",00031776,"Size: One Size",F-82,luggage-c7/manbags-briefcases-c64/leather-vintage-medium-flight-shoulder-bag-tan-f-82-p2391,12,0.23,30,N
0003209100,5060474522090,,,9666,2423,7,,,,,,,160.000,133.333,120.000,100.000,0.000,0.000,,,ASHWOOD,"Leather Vintage Laptop Work Bag  Black/mud : F-83","Leather Vintage Laptop Work Bag  Black/mud : F-83",00032091,"Size: One Size",F-83,mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/leather-vintage-laptop-work-bag-black-mud-f-83-p2423,4,0.08,91,N
0003209200,5060474522106,,,9667,2424,7,,,,,,,160.000,133.333,120.000,100.000,0.000,0.000,,,ASHWOOD,"Leather Vintage Laptop Work Bag  Brandy : F-83","Leather Vintage Laptop Work Bag  Brandy : F-83",00032092,"Size: One Size",F-83,mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/leather-vintage-laptop-work-bag-brandy-f-83-p2424,6,0.12,61,N
0003203200,,,,9695,2452,7,,,,,,,145.000,120.833,145.000,120.833,0.000,0.000,,,ASHWOOD,"Vegetable Tanned Leather Backpack Chestnut : 11319","Vegetable Tanned Leather Backpack Chestnut : 11319",00032032,"Size: One Size",11319,mens-c4/man-bags-briefcases-c12/backpacks-c116/vegetable-tanned-leather-backpack-chestnut-11319-p2452,20,0.38,18,N
0003191107,,,,9794,2483,7,,,,,,,239.000,199.167,189.000,157.500,0.000,0.000,,,ASHWOOD,"Leather Biker Jacket Black :  Scarlett","Leather Biker Jacket Black :  Scarlett",00031911,"Size: 20",RUTH,ladies-c3/leather-jackets-c9/biker-styles-c78/leather-biker-jacket-black-scarlett-p2483,0,0,0,N
0003217900,,,,9851,2524,7,,,,,,,120.000,100.000,120.000,100.000,0.000,0.000,,,ASHWOOD,"Large Leather Multi-Function Leather Bag  Black  - Ela 1604","Large Leather Multi-Function Leather Bag  Black  - Ela 1604",00032179,"Size: One Size","ELA 1604",handbags-c6/ashwood-c30/large-leather-multi-function-leather-bag-black-ela-1604-p2524,0,0,0,N
0003270400,,,,10050,2619,7,,,,,,,89.990,74.992,89.990,74.992,0.000,0.000,,,ASHWOOD,"Ashwood Leather women's  Medium Handbag Black: 61550","Ashwood Leather women's  Medium Handbag Black: 61550",00032704,"Size: One Size",61550,ladies-c3/leather-handbags-c10/ashwood-leather-womens-medium-handbag-black-61550-p2619,0,0,0,N
0001903300,,,,10179,2748,7,,,,,,,29.990,24.992,29.990,24.992,0.000,0.000,,,ASHWOOD,"Crumble 6 Card, ID & Coins Bill Fold Tab Wallet Tan/crum : 1412 C","Crumble 6 Card, ID & Coins Bill Fold Tab Wallet Tan/crum : 1412 C",00019033,"Size: One Size","1412 C",gift-accessories-c8/wallets-c16/ashwood-crumble-6-card-id-coins-bill-fold-tab-wallet-tan-crum-1412-c-p2748,1,0.02,365,N
0002697000,,,,10191,2760,7,,,,,,,29.950,24.958,29.950,24.958,0.000,0.000,,,ASHWOOD,"Cow Waxy Leather Classic 6 Card,ID, Coins &  Bill-Fold Tab Wallet Black : 1553","Cow Waxy Leather Classic 6 Card,ID, Coins &  Bill-Fold Tab Wallet Black : 1553",00026970,"Size: One Size",1553,gift-accessories-c8/wallets-c16/ashwood-cow-waxy-leather-classic-6-card-id-coins-bill-fold-tab-wallet-black-1553-p2760,2,0.04,182,N
0003186600,,,,10361,2930,7,,,,,,,135.000,112.500,135.000,112.500,0.000,0.000,,,ASHWOOD,"Medium Leather Zip Around Vintage Backpack Tan : Fred","Medium Leather Zip Around Vintage Backpack Tan : Fred",00031866,"Size: One Size",FRED,mens-c4/man-bags-briefcases-c12/backpacks-c116/medium-leather-zip-around-vintage-backpack-tan-fred-p2930,0,0,0,N
0003187400,,,,10364,2933,7,,,,,,,170.000,141.667,170.000,141.667,0.000,0.000,,,ASHWOOD,"Large  Leather Weekend Vintage Travel Bag Vintage Tan : Oliver","Large  Leather Weekend Vintage Travel Bag Vintage Tan : Oliver",00031874,"Size: One Size",OLIVER,luggage-c7/holdall-c15/large-leather-weekend-vintage-travel-bag-vintage-tan-oliver-p2933,7,0.13,52,N
