# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20231130
# End date: 20240227
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Users,Engaged sessions,Engagement rate,Average engagement time,Event count,Conversions,Ad revenue
/ashwood-m1,381,24465,0.015573267933782955,6.409564684242796,332,285,0.782967032967033,133.15361445783134,5524,2,0
/handbags-c6/navy-t49,377,73692,0.0051158877490093905,10.986592845899148,333,280,0.7909604519774012,84.37237237237237,3603,4,0
/size-guide-i9,376,42412,0.008865415448457984,10.630646986701876,350,244,0.6288659793814433,34.47142857142857,1684,0,0
/ladies-c3/leather-jackets-c9/red-t11,365,165509,0.0022053181397990443,7.492577442918512,328,249,0.7175792507204611,50.396341463414636,3069,1,0
/sheepskin-fur-c5/sheepskin-hats-c56,353,15844,0.02227972734158041,17.08602625599596,301,262,0.7987804878048781,69.73089700996678,3459,4,0
/handbags-c6/ashwood-m1/burgundy-t59,350,52754,0.006634567994843993,9.13470068620389,309,222,0.676829268292683,40.14886731391586,2613,0,0
/sheepskin-fur-c5,330,36590,0.009018857611369226,19.263186663022683,293,241,0.7067448680351907,91.11945392491468,3321,0,0
/mens-c4/leather-jackets-c25/3-4-styles-c100,319,19736,0.01616335630320227,12.655806647750303,255,195,0.7142857142857143,47.82745098039216,2169,0,0
/mens-c4/leather-jackets-c25/biker-styles-c97,305,107952,0.0028253297761968283,15.970459092930192,290,243,0.7546583850931677,96.05862068965517,3712,0,0
/mens-c4/leather-jackets-c25/red-t11,303,30841,0.009824584157452741,15.270451671476282,265,188,0.6619718309859155,37.16226415094339,2486,1,0
/handbags-c6/tan-t25,300,42804,0.007008690776562938,12.988435660218672,256,205,0.6996587030716723,93.70703125,2763,2,0
/luggage-c7/holdall-c15/ashwood-m1,298,49215,0.006055064512851773,22.71884588032104,206,171,0.7467248908296943,107.36407766990291,3052,1,0
/mens-c4/leather-jackets-c25/bugatti-m51,297,4933,0.06020677072775187,14.974255017230893,266,158,0.5683453237410072,20.424812030075188,1748,0,0
/mens-c4/leather-jackets-c25/blazer-styles-c98,293,66791,0.004386818583342067,17.79838601009118,247,199,0.7653846153846153,56.26720647773279,2549,0,0
/gift-accessories-c8/wallets-c16/ashwood-m1,280,13999,0.020001428673476675,14.3070933638117,242,184,0.696969696969697,70.5,2796,2,0
/mens-c4/leather-jackets-c25/full-grain-leather-jacket-syh-jumbo-black-petros-p1281,268,13305,0.020142803457346863,13.698459225854942,231,182,0.7309236947791165,53.74891774891775,2288,0,0
/mens-c4/leather-jackets-c25/blue-t2,263,23572,0.01115730527744782,10.72208552519939,220,152,0.6413502109704642,39.263636363636365,1869,0,0
/sheepskin-fur-c5/sheepskin-gloves-c28,259,17115,0.015132924335378323,13.683085013146362,211,181,0.8044444444444444,53.985781990521325,2042,3,0
/map/leather-company-london,246,11221,0.021923179752250246,13.632029230906337,200,163,0.7874396135265701,74.13,2282,0,0
/mens-c4,246,67609,0.0036385688295936932,12.890354834415536,215,177,0.75,156.6186046511628,3634,3,0
/ladies-c3/leather-jackets-c9/3-4-styles-c91,244,35997,0.006778342639664417,8.27085590465872,175,137,0.7365591397849462,54.44571428571429,1878,0,0
/ladies-c3/leather-jackets-c9/burgundy-t59,239,141985,0.001683276402436877,5.877254639574603,218,149,0.6367521367521367,35.35321100917431,1909,1,0
/handbags-c6/ashwood-m1/green-t6,235,20335,0.011556429800835996,17.062699778706662,212,171,0.7668161434977578,70.47169811320755,2361,1,0
/mens-c4/leather-gun-slip-brandy-savoy-p2421,233,3834,0.06077203964527908,13.9924360980699,215,155,0.6623931623931624,36.86976744186047,2147,0,0
/luggage-c7/manbags-briefcases-c64,229,30380,0.007537853851217907,20.19572086899276,192,148,0.6915887850467289,65.84375,1972,1,0
/ladies-c3/leather-jackets-c9/tan-t25,227,35765,0.006346987278065147,10.091681811827206,183,151,0.7823834196891192,73.04371584699453,2452,1,0
/mens-c4/leather-jackets-c25/white-t13,221,23702,0.009324107670238798,14.86005400388153,196,135,0.675,29.255102040816325,1567,0,0
/ladies-c3,211,60902,0.003464582443926308,11.098584611342813,177,137,0.681592039800995,136.93785310734464,2944,2,0
/gift-accessories-c8/purses-c36/ashwood-m1,210,16486,0.012738080795826763,11.427392939463788,161,137,0.7873563218390804,94.36024844720497,2130,1,0
/sheepskin-fur-c5/sheepskin-footwear-c46/fenland-m10,209,9165,0.022804146208401526,19.00229132569558,181,149,0.7563451776649747,69.67403314917127,2389,5,0
/gift-accessories-c8/ladies-gloves-c38/red-t11,207,13890,0.014902807775377969,13.754067674586032,176,145,0.7923497267759563,46.93181818181818,1921,1,0
/mens-c4/leather-jackets-c25/size-5xl-t29,204,9989,0.020422464711182302,20.881769946941635,160,123,0.7235294117647059,77.5375,2097,1,0
/handbags-c6/cheltenham-croc-collection-c177,202,17865,0.011307024909040023,11.094206549118388,173,131,0.7158469945355191,47.83236994219653,1757,0,0
/luggage-c7/backpacks-rucksacks-c52/ashwood-m1,197,42000,0.00469047619047619,7.218595238095238,169,129,0.7247191011235955,73.63905325443787,2059,0,0
/ladies-c3/leather-jackets-c9/ashwood-m1,196,172628,0.001135389392219107,4.31639131542971,142,95,0.6375838926174496,62.66901408450704,1404,0,0
/handbags-c6/cross-body-bag-c87/ashwood-m1,193,17005,0.01134960305792414,17.719905910026462,135,117,0.8181818181818182,95.17037037037036,1977,0,0
/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113,192,69965,0.002744229257485886,26.416951332809262,188,171,0.7916666666666666,108.95744680851064,2843,2,0
/handbags-c6/ashwood-m1/red-t11,190,25169,0.007548968969764393,13.319162461758513,171,128,0.7111111111111111,38.68421052631579,1408,0,0
/handbags-c6/ashwood-m1/tan-t25,190,19188,0.009902022097144048,7.788513654367313,166,150,0.8426966292134831,107.42168674698796,2160,1,0
/ladies-c3/leather-jackets-c9/green-t6,187,33990,0.005501618122977346,10.17858193586349,157,130,0.7878787878787878,49.77707006369427,1696,0,0
/ladies-c3/leather-jackets-c9/navy-t49,185,22985,0.008048727430933217,10.442897541875135,144,118,0.7612903225806451,50.083333333333336,1572,0,0
/mens-c4/leather-jackets-c25/tan-t25,184,19907,0.009242979856331943,18.472396644396444,151,133,0.8471337579617835,89.03311258278146,2117,0,0
/gift-accessories-c8/ladies-gloves-c38/xl-t19,175,3617,0.048382637544926735,16.10201824716616,0,0,0,0,0,0,0
/sheepskin-fur-c5/ladies-sheepskin-jackets-c13,174,13922,0.01249820428099411,19.932840109179715,145,126,0.8181818181818182,108.46206896551725,2013,1,0
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234,171,61031,0.0028018547951041274,7.628352804312563,161,129,0.7724550898203593,67.1863354037267,1968,0,0
/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/brown-t3,169,24165,0.006993585764535485,14.463025036209395,140,112,0.7619047619047619,51.378571428571426,1202,1,0
/gift-accessories-c8/mens-gloves-c37/ashwood-m1,167,41463,0.004027687335696886,6.656585389383306,131,96,0.6808510638297872,38.47328244274809,1080,1,0
/gift-accessories-c8/ladies-gloves-c38/brown-t3,166,12470,0.013311948676824378,11.554611066559744,141,106,0.6973684210526315,44.94326241134752,1601,4,0
/gift-accessories-c8/purses-c36/green-t6,165,14523,0.011361288989878125,13.34435034083867,131,104,0.7647058823529411,46.603053435114504,1359,0,0
/map/leather-company-solihull,159,6412,0.024797255146600125,13.597629444791016,108,100,0.8064516129032258,140.05555555555554,1840,0,0
/luggage-c7/backpacks-rucksacks-c52/tan-t25,154,34101,0.004515996598340225,5.112166798627606,141,103,0.6776315789473685,45.92198581560284,1207,1,0
/mens-c4/classic-russian-style-sheepskin-hat-tobacco-vladimir-p4399,151,48436,0.003117515897266496,6.719258402840862,169,108,0.6136363636363636,33.27810650887574,1561,0,0
/mens-c4/mens-shearling-sheepskin-coat-honey-tan-del-boy-p6074,148,13127,0.011274472461339224,5.871486249714329,185,119,0.5639810426540285,47.88108108108108,1334,0,0
/mens-c4/luxury-leather-belt-and-wallet-gift-set-brown-gs-1250-p6126,146,8032,0.018177290836653388,17.225597609561753,140,83,0.5804195804195804,31.892857142857142,1004,0,0
/mens-c4/fur-parkas-c73,142,38153,0.003721856734725972,46.497601761329385,142,82,0.5578231292517006,27.514084507042252,1061,0,0
/ladies-c3/fur-coats-c77,139,19019,0.007308480992691519,17.86361007413639,126,73,0.5488721804511278,26.825396825396826,907,0,0
/mens-c4/leather-jackets-c25/size-3xl-t27,138,8787,0.015705018777739842,19.27165130306134,115,86,0.6935483870967742,59.04347826086956,1029,0,0
/handbags-c6/tote-bags-c85,136,32929,0.004130098089829634,34.72695800054663,136,109,0.7569444444444444,54.0735294117647,1383,1,0
/luggage-c7/wash-toiletry-bags-c55/ashwood-m1,136,22888,0.005941978329255505,23.0342974484446,109,98,0.8672566371681416,75.9908256880734,1298,1,0
/mens-c4/man-bags-briefcases-c12/briefcases-c112,136,51325,0.0026497808085728203,12.787452508524112,133,109,0.7730496453900709,57.330827067669176,1350,0,0
/gift-accessories-c8/ladies-gloves-c38,133,19724,0.006743054147231799,34.57680997769215,125,96,0.7272727272727273,38.896,1080,0,0
/gift-accessories-c8/purses-c36/red-t11,132,12927,0.010211185889997679,22.611201361491453,106,85,0.7589285714285714,35.27358490566038,898,0,0
/handbags-c6/cross-body-bag-c87/navy-t49,130,19355,0.006716610694910876,12.195350038749677,116,92,0.7022900763358778,55.33620689655172,1082,0,0
/mens-c4/man-bags-briefcases-c12/ashwood-m1,129,24201,0.005330358249659105,15.409197967026156,106,86,0.7166666666666667,105.15094339622641,1310,1,0
/mens-c4/accessories-c27,128,18461,0.006933535561453876,27.588971344997564,130,105,0.7664233576642335,78.71538461538462,1336,0,0
/handbags-c6/the-bridge-m7,126,21130,0.00596308566019877,10.044297207761476,119,117,0.8931297709923665,77.63865546218487,1231,0,0
/mens-c4/man-bags-briefcases-c12/flight-bags-c118,126,34897,0.0036106255552053185,8.899561566896868,112,90,0.7692307692307693,100.41071428571429,1409,3,0
/handbags-c6/cross-body-bag-c87/burgundy-t59,120,13984,0.008581235697940504,8.703804347826086,103,76,0.7102803738317757,64.69902912621359,1355,0,0
/luggage-c7/carry-on-case-c34,119,8998,0.013225161146921538,11.010446765947988,94,88,0.8543689320388349,68.43617021276596,1019,0,0
/ladies-c3/womens-luxury-shearling-aviator-jacket-black-brissa-alessa-p4391,117,34160,0.003425058548009368,23.69473067915691,139,96,0.6575342465753424,38.42446043165467,1126,0,0
/ladies-c3/handbags-c10/ashwood-m1/brown-t3,114,9144,0.012467191601049869,17.658573928258967,0,0,0,0,0,0,0
/ladies-c3/leather-jackets-c9/beige-t70,113,13323,0.008481573219244915,10.590482624033626,96,73,0.73,36.760416666666664,960,1,0
/mens-c4/mens-touch-screen-friendly-leather-gloves-black-775-p4436,112,8569,0.013070369938149142,13.4253705216478,99,70,0.6194690265486725,42.696969696969695,870,2,0
/gift-accessories-c8/ladies-gloves-c38/navy-t49,110,10963,0.010033749885980115,10.114202316884064,101,72,0.6923076923076923,39.82178217821782,966,3,0
/mens-c4/leather-jackets-c25/monomoi-m52,109,1196,0.09113712374581939,10.078595317725753,81,71,0.8160919540229885,87.77777777777777,1061,0,0
/contact-us-i3,107,18231,0.005869124019527179,6.069771268718117,111,81,0.5955882352941176,63.24324324324324,957,0,0
/home-living-c65/leather-trunks-c163,104,4950,0.02101010101010101,17.13111111111111,97,72,0.7128712871287128,38.75257731958763,769,0,0
/luggage-c7/suit-carriers-c51/ashwood-m1,101,6661,0.015162888455186908,29.38838012310464,77,64,0.7191011235955056,39.103896103896105,875,0,0
/luggage-c7/mens-leather-suit-carrier-chestnut-harper-p595,100,17392,0.005749770009199632,13.625,103,75,0.6880733944954128,43.87378640776699,921,1,0
/mens-c4/leather-jackets-c25/size-xs-t15,100,12190,0.008203445447087777,15.41025430680886,88,67,0.7052631578947368,67.29545454545455,911,1,0
/mens-c4/accessories-c27/mens-501-leather-jeans-black-lj-501-p3340,99,6365,0.015553809897879026,20.16842105263158,87,66,0.6111111111111112,39.03448275862069,655,0,0
/mens-c4/leather-jackets-c25/faux-fur-lined-leather-jacket-antique-b3-art-p7494,99,21510,0.004602510460251046,20.13858670385867,86,50,0.5434782608695652,27.127906976744185,652,0,0
/mens-c4/leather-jackets-c25/size-4xl-t28,99,5762,0.01718153418951753,18.463727872266574,85,59,0.6413043478260869,70.07058823529412,1064,0,0
/handbags-c6/camel-t50,98,29436,0.003329256692485392,7.140712053268107,92,42,0.4421052631578947,37.92391304347826,718,1,0
/gift-accessories-c8/ladies-gloves-c38/ashwood-m1/tan-t25,97,4479,0.02165661978120116,6.538289796829649,80,62,0.7045454545454546,63.25,1148,1,0
/handbags-c6/teal-t74,97,8309,0.011674088337946805,9.874473462510531,87,61,0.6161616161616161,24.482758620689655,568,0,0
/gift-accessories-c8/purses-c36/small-purses-c94,96,23491,0.0040866714912094,25.237495210931847,98,79,0.79,52.11224489795919,1111,0,0
/handbags-c6/ashwood-m1/grey-t7,96,15661,0.006129876763935891,20.63674094885384,79,65,0.7831325301204819,47.50632911392405,722,0,0
/ladies-c3/accessories-c24/gloves-c102/extra-slim-sheepskin-leather-fingerless-glove-black-black-lancy-p4011,96,9776,0.009819967266775777,19.34676759410802,88,51,0.5666666666666667,32.57954545454545,633,0,0
/monomoi-m52,96,648,0.14814814814814814,2.236111111111111,75,61,0.8026315789473685,93.4,1061,0,0
/ladies-c3/leather-jackets-c9/casual-styles-c124,95,19628,0.004840024454860404,20.063073160790708,85,64,0.6597938144329897,68.17647058823529,1012,1,0
/marta-ponti-m38,95,2661,0.03570086433671552,11.096580232995114,80,63,0.7411764705882353,43.0875,770,0,0
/mens-c4/sheepskin-jackets-c26/black-t1,95,54644,0.0017385257301808068,6.685820950150062,82,62,0.7294117647058823,86.90243902439025,1061,0,0
/gift-accessories-c8/wallets-c16/marta-ponti-m38,91,7243,0.012563854756316443,7.412260113212757,83,68,0.7906976744186046,37.95180722891566,736,0,0
/ladies-c3/ashwood-leather-crossbody-smart-phone-bag-red-ph-2-p6777,91,5975,0.015230125523012552,26.07481171548117,85,62,0.6813186813186813,33.95294117647059,748,0,0
/handbags-c6/orange-t8,90,15654,0.005749329244921426,19.39344576466079,86,71,0.7802197802197802,67.76744186046511,1012,1,0
/ladies-c3/leather-jackets-c9/grey-t7,88,17016,0.005171603196991067,9.186177715091679,72,50,0.6756756756756757,32.833333333333336,596,0,0
/gift-accessories-c8/purses-c36/medium-purses-c95,86,11931,0.007208113318246585,17.223283882323358,78,68,0.8292682926829268,61.6025641025641,903,1,0
/sheepskin-fur-c5/sheepskin-gloves-c28/ashwood-m1,86,3520,0.024431818181818183,27.407954545454544,62,58,0.8923076923076924,94.90322580645162,983,2,0
/mens-c4/leather-jackets-c25/trapper-m33/brown-t3,84,24783,0.003389420167049994,5.0807811806480245,49,36,0.7058823529411765,60.3469387755102,472,0,0
/ladies-c3/purses-c22,82,21770,0.0037666513550757923,35.81864951768489,72,60,0.75,83.66666666666667,808,0,0
/mens-c4/leather-jackets-c25/mens-leather-g-1-flight-bomber-jacket-cream-coffee-maverick-p6783,82,11126,0.007370124033794715,22.462430343339925,85,57,0.6477272727272727,23.48235294117647,619,0,0
/sheepskin-fur-c5/sheepskin-gloves-c28/fenland-m10,82,471,0.1740976645435244,3.745222929936306,63,49,0.7101449275362319,34.53968253968254,563,1,0
/handbags-c6/cheltenham-croc-collection-c177/green-t6,80,3592,0.022271714922048998,9.287583518930958,74,59,0.7662337662337663,46.45945945945946,757,0,0
/map,80,6401,0.012498047180128105,11.932198094047806,61,31,0.4492753623188406,46.24590163934426,403,0,0
/mens-c4/leather-detachable-hood-puffer-jacket-cognac-nello-p6539,80,14299,0.005594796838939786,17.69102734456955,77,55,0.6790123456790124,34.701298701298704,771,0,0
/mens-c4/mens-waistcoats-c58/sheepskin-gilet-tobacco-norden-p814,80,5535,0.014453477868112014,9.706594399277327,76,57,0.7307692307692307,67.90789473684211,969,0,0
/mens-c4/sheepskin-jackets-c26/sheepskin-duffle-black-magnus-p1009,80,9981,0.008015228934976455,28.484320208395953,62,52,0.7428571428571429,61.67741935483871,728,0,0
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-ginger-leo-p101,80,12148,0.006585446163977609,12.018933157721436,78,60,0.6122448979591837,58.6025641025641,984,0,0
/map/leather-company-birmingham-hq,79,2747,0.02875864579541318,7.571896614488533,67,58,0.7837837837837838,102.25373134328358,889,0,0
/sale/ladies-c3/leather-jackets-c9/size-18-t35,79,3247,0.02433015090853095,15.048660301817062,62,48,0.7164179104477612,84.54838709677419,675,0,0
/gift-accessories-c8/mens-leather-belts-c50/ashwood-m1,78,2443,0.03192795742939009,46.26442898076136,64,54,0.7714285714285715,65.953125,740,0,0
/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/ashwood-m1,78,14187,0.005497991118629732,25.28512018044689,63,48,0.7384615384615385,96.85714285714286,784,1,0
/mens-c4/fenland-mens-nubuck-leather-jacket-rust-carter-p5770,76,3722,0.02041912950026867,10.724610424502956,73,60,0.75,77.01369863013699,944,0,0
/sale/handbags-c6/ashwood-m1,76,8406,0.009041161075422317,19.074113728289316,56,50,0.8620689655172413,97.625,589,0,0
/ladies-c3/leather-jackets-c9/brown-t3,75,24704,0.0030359455958549222,11.00809585492228,68,60,0.8450704225352113,84.5,875,0,0
/handbags-c6/chestnut-t26,74,42147,0.0017557596032932356,5.041853512705531,66,43,0.6323529411764706,34.72727272727273,522,1,0
/sheepskin-fur-c5/ashwood-m1,74,5974,0.012387010378305993,7.141781051221962,48,43,0.8269230769230769,111.9375,734,0,0
/delivery-returns-i5,72,1586,0.04539722572509458,8.842370744010088,67,50,0.44642857142857145,77.76119402985074,661,0,0
/ladies-c3/leather-jackets-c9/cream-t4,72,10575,0.006808510638297872,13.116784869976359,60,34,0.53125,38.983333333333334,593,0,0
/ladies-c3/leather-jackets-c9/size-22-t37,72,34958,0.0020596143944161564,6.9431031523542535,58,50,0.819672131147541,109.93103448275862,1288,1,0
/ladies-c3/skirts-jeans-c74/jeans-trousers-c128/womens-suede-leather-trousers-sand-sue-766-p3338,72,10226,0.0070408761979268535,19.31087424212791,70,50,0.684931506849315,30.84285714285714,779,0,0
/brampton-m25,70,3969,0.01763668430335097,16.701940035273367,63,45,0.6818181818181818,31.19047619047619,466,0,0
/sheepskin-fur-c5/sheepskin-earmuffs-c186/fenland-m10,70,4507,0.015531395606833814,19.882627024628356,64,48,0.7164179104477612,24.078125,516,1,0
/ladies-c3/accessories-c24/gloves-c102/ashwood-suede-and-leather-gloves-brown-130-p1635,68,7247,0.009383193045398096,14.03932661791086,65,49,0.7424242424242424,60.6,704,0,0
/ladies-c3/sheepskin-jackets-c11/shearling-style-c111,68,27760,0.0024495677233429395,10.642903458213256,60,45,0.703125,35.45,546,0,0
/luggage-c7/backpacks-rucksacks-c52/black-t1,68,44459,0.0015294990890483368,9.721361254189253,61,44,0.676923076923077,34.36065573770492,434,1,0
/about-us-i1,67,2936,0.02282016348773842,10.079019073569482,60,44,0.7096774193548387,66.36666666666666,626,0,0
/ladies-c3/sheepskin-jackets-c11/tan-t25,67,84439,0.000793472210708322,5.411456791293123,56,41,0.6612903225806451,25.053571428571427,359,0,0
/mens-c4/fenland-classic-mens-suede-sheepskin-moccasin-slippers-grey-p4088,67,29152,0.0022982985729967068,38.30323819978046,63,38,0.5846153846153846,41.17460317460318,692,0,0
/mens-c4/leather-jackets-c25/gabicci-m55/size-l-t18,67,1416,0.04731638418079096,7.05225988700565,53,36,0.6545454545454545,47.62264150943396,504,0,0
/mens-c4/mens-fashion-cowhide-leather-jacket-black-rocco-p4136,67,3752,0.017857142857142856,17.317164179104477,56,44,0.7096774193548387,89.08928571428571,726,0,0
/ladies-c3/sheepskin-jackets-c11/grey-t7,66,83642,0.0007890772578369718,5.4433418617441,58,38,0.6031746031746031,33.206896551724135,500,0,0
/mens-c4/leather-jackets-c25/size-xxl-t20,65,7847,0.008283420415445393,20.588887472919588,58,39,0.65,62.41379310344828,530,0,0
/handbags-c6/cross-body-bag-c87/green-t6,64,8768,0.0072992700729927005,15.55611313868613,61,51,0.7727272727272727,69.04918032786885,682,1,0
/mens-c4/man-bags-briefcases-c12/backpacks-c116,64,21866,0.002926918503612915,31.844415988292326,65,51,0.7183098591549296,57.10769230769231,741,0,0
/ladies-c3/ladies-jackets-coats-c181,63,29862,0.002109704641350211,38.72121760096444,57,44,0.7096774193548387,73.63157894736842,562,0,0
/mens-c4/leather-jackets-c25/burgundy-t59,62,7123,0.008704197669521269,16.168468341990735,54,35,0.6363636363636364,23.796296296296298,450,0,0
/mens-c4/monomoi-mens-leather-denim-style-jacket-blue-james-p6114,62,16521,0.0037527994673445917,15.988317898432298,60,49,0.6447368421052632,96.51666666666667,820,0,0
/handbags-c6/cognac-t46,60,42537,0.0014105367092178574,6.125819874462233,56,41,0.7068965517241379,64.41071428571429,472,0,0
/mens-c4/leather-jackets-c25/fenland-m10,59,642,0.09190031152647975,4.817757009345794,42,39,0.8863636363636364,64.76190476190476,543,0,0
/mens-c4/trapper-mens-nappa-leather-jacket-black-jason-p5794,59,9319,0.006331151411095611,7.460027899989269,61,38,0.6031746031746031,69.91803278688525,765,0,0
/sheepskin-fur-c5/sheepskin-rugs-c57/ashwood-m1,59,2617,0.02254489873901414,58.20022927015667,51,45,0.8333333333333334,96.52941176470588,902,1,0
/handbags-c6/ashwood-m1/blue-t2,58,8738,0.006637674525062943,16.35168230716411,62,48,0.75,49.04838709677419,658,0,0
/handbags-c6/shopper-bag-c83,57,10762,0.005296413306076937,28.582326705073406,48,34,0.6071428571428571,33.270833333333336,345,0,0
/ladies-c3/accessories-c24/gloves-c102/ashwood-m1,57,213,0.2676056338028169,3.352112676056338,44,34,0.68,58.31818181818182,449,0,0
/mens-c4/leather-jackets-c25/grey-t7,57,12569,0.004534966982257936,13.188956957594081,52,38,0.6909090909090909,55.05769230769231,884,0,0
/mens-c4/leather-jackets-c25/leather-hooded-bomber-jacket-black-addison-p943,57,27948,0.0020395019321597253,20.826284528409904,57,53,0.726027397260274,65.80701754385964,857,0,0
/home-living-c65/leather-cushions-c69,55,5101,0.010782199568712018,12.264065869437365,51,32,0.6037735849056604,21.45098039215686,339,0,0
/ladies-c3/fur-coats-c77/mink-coat-brown-imola-p1417,55,13640,0.004032258064516129,23.32140762463343,64,43,0.6417910447761194,26.0625,440,0,0
/ladies-c3/purses-c22/tan-t25,55,4663,0.011794981771391808,15.037529487454428,47,42,0.84,72.31914893617021,624,0,0
/mens-c4/leather-jackets-c25/trapper-m33/size-l-t18,54,7854,0.006875477463712758,4.473898650369239,27,20,0.6666666666666666,59.55555555555556,326,0,0
