Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated,Colour,Style,Size,Style-Colour-Size,PLU,Product,Usman_GS1
5060474520041,Active,Curve Mushroom,,,,,,,21/01/2017 11:32:14,mushroom,curve,,curve-mushroom-,0002104900,,
5060821285234,Active,"CB2, 63620 NDM MUSHROOM CURVE CROSSBODY BAG","CB2, 63620 NDM MUSHROOM CURVE CROSSBODY BAG",ASHWOOD,REINDEER,,,,29/01/2022 07:22:43,mushroom,curve,,curve-mushroom-,0002104900,,
5060821285289,Active,"CB3 63014, KELLY NDM MUSHROOM CURVE CROSSBODY BAG","CB3 63014, KELLY NDM MUSHROOM CURVE CROSSBODY BAG",ASHWOOD,REINDEER,,,,29/01/2022 07:28:14,mushroom,curve,,curve-mushroom-,0002104900,,
5060474526562,Active,Ashwood Milled VT WASHBAG BLK/MUD : 4557,,,,,,,06/03/2020 08:54:13,black/mud,4557,,4557-black/mud-,0002300100,4557 BLACK ,Yes
5060474526562,Active,Ashwood Milled VT WASHBAG BLK/MUD : 4557,,,,,,,06/03/2020 08:54:13,black/mud,4557,,4557-black/mud-,0002300100,4557 BLACK,Yes
5060474526579,Active,Ashwood Milled VT WASHBAG TAN/BROWN : 4557,,,,,,,06/03/2020 08:54:43,tan/brown,4557,,4557-tan/brown-,0002300200,4557 TAN ,Yes
5060474526579,Active,Ashwood Milled VT WASHBAG TAN/BROWN : 4557,,,,,,,06/03/2020 08:54:43,tan/brown,4557,,4557-tan/brown-,0002300200,4557 TAN,Yes
5060474526500,Active,Ashwood Milled VT MED MESSENGER Bag BLK/MUD : 4553,,,,,,,06/03/2020 08:31:53,black/mud,4553,,4553-black/mud-,0002302800,4553 BLACK ,Yes
5060474526500,Active,Ashwood Milled VT MED MESSENGER Bag BLK/MUD : 4553,,,,,,,06/03/2020 08:31:53,black/mud,4553,,4553-black/mud-,0002302800,4553 BLACK,Yes
5060821284008,Active,Ashwood Medium Buffalo Glazed Veg Tanned Leather Bag black/Vt : 52234,Ashwood Medium Buffalo Glazed Veg Tanned Leather Bag black/Vt : 52234,ASHWOOD,,,,,15/10/2021 14:42:42,black,52234,,52234-black-,0002304500,,
5060999700676,Active,"52234, GRAINY LEATHER HANDBAG, BLACK","52234, GRAINY LEATHER HANDBAG, BLACK",ASHWOOD,REINDEER,,,196802 BK 00,18/11/2022 16:28:24,black,52234,,52234-black-,0002304500,,
5060821286743,Active,SAVOY-A GARRY - DK BROWN,BB GARRY D BROWN GUNSLIP,,,,,,26/08/2022 09:38:53,brown,savoy,,savoy-brown-,0002354600,SAVOY TORNADO BROWN,Yes
5060821286743,Active,SAVOY-A GARRY - DK BROWN,BB GARRY D BROWN GUNSLIP,,,,,,26/08/2022 09:38:53,brown,savoy,,savoy-brown-,0002354600,SAVOY DK BROWN,Yes
5060821286798,Active,SAVOY-A BC OILY AND BB GARRY - BROWN,GUNSLIP LEATHER BC OILY & BB GARRY - BROWN,ASHWOOD,,,,,26/08/2022 09:39:22,brown,savoy,,savoy-brown-,0002354600,,
5060474526517,Active,Ashwood Milled VT MED MESSENGER Bag TAN/BROWN : 4553,,,,,,,06/03/2020 08:32:16,tan/brown,4553,,4553-tan/brown-,0002356500,4553 TAN ,Yes
5060474526517,Active,Ashwood Milled VT MED MESSENGER Bag TAN/BROWN : 4553,,,,,,,06/03/2020 08:32:16,tan/brown,4553,,4553-tan/brown-,0002356500,4553 TAN,Yes
5060474521574,Active,Ashwood  Unisex Leather Backpack Tan/brown : 4555,,,,,,,08/06/2017 12:47:39,tan/brown,4555,,4555-tan/brown-,0002356600,4555 TAN ,Yes
5060474521574,Active,Ashwood  Unisex Leather Backpack Tan/brown : 4555,,,,,,,08/06/2017 12:47:39,tan/brown,4555,,4555-tan/brown-,0002356600,4555 TAN,Yes
5060474521567,Active,Ashwood Unisex Leather Backpack Black/mud : 4555,,,,,,,08/06/2017 12:30:09,black/mud,4555,,4555-black/mud-,0002356700,4555 BLACK ,Yes
5060474521567,Active,Ashwood Unisex Leather Backpack Black/mud : 4555,,,,,,,08/06/2017 12:30:09,black/mud,4555,,4555-black/mud-,0002356700,4555 BLACK,Yes
5060474526524,Active,Ashwood Milled VT LARGE MESSENGER Bag BLK/MUD : 4554,,,,,,,06/03/2020 08:32:47,black/mud,4554,,4554-black/mud-,0002356800,4554 BLACK ,Yes
5060474526524,Active,Ashwood Milled VT LARGE MESSENGER Bag BLK/MUD : 4554,,,,,,,06/03/2020 08:32:47,black/mud,4554,,4554-black/mud-,0002356800,4554 BLACK,Yes
5060474526531,Active,Ashwood Milled VT LARGE MESSENGER Bag TAN/BROWN : 4554,,,,,,,06/03/2020 08:33:13,tan/brown,4554,,4554-tan/brown-,0002356900,4554 TAN ,Yes
5060474526531,Active,Ashwood Milled VT LARGE MESSENGER Bag TAN/BROWN : 4554,,,,,,,06/03/2020 08:33:13,tan/brown,4554,,4554-tan/brown-,0002356900,4554 TAN,Yes
5060474526555,Active,Ashwood Milled VT HOLDALL TAN/BROWN : 4556,,,,,,,07/03/2020 06:34:29,tan/brown,4556,,4556-tan/brown-,0002449000,4556 TAN ,Yes
5060474526555,Active,Ashwood Milled VT HOLDALL TAN/BROWN : 4556,,,,,,,07/03/2020 06:34:29,tan/brown,4556,,4556-tan/brown-,0002449000,4556 TAN,Yes
5060821288822,Active,"STYLE: 89151, COLOR: CHESTNUT",89151 CHESTNUT  VT LEATHER,ASHWOOD,,,,,30/08/2022 13:16:14,chestnut,89151,,89151-chestnut-,0002689000,89151 CHESTNUT ,Yes
5060821289607,Active,89151-A BUFF VT CHESTNUT,BUSINESS TROLLY BAG,ASHWOOD,,,,,31/10/2022 12:13:00,chestnut,89151,,89151-chestnut-,0002689000,,
5060474525831,Active,1555-RFID / TAN / GLOVING VINTAGE,WALLET,ASHWOOD,,,,,13/02/2020 07:15:43,tan,1555,,1555-tan-,0002696700,,
5060474527262,Active,Ashwood MILLED VT Leather Wallet Tan : 1555,,,,,,,17/03/2020 10:21:42,tan,1555,,1555-tan-,0002696700,1555 TAN,Yes
5060474525855,Active,1552-RFID / TAN / GLOVING VINTAGE,WALLET,ASHWOOD,,,,,13/02/2020 07:16:47,tan,1552,,1552-tan-,0002697300,,
5060474527200,Active,Ashwood MILLED VT Leather Wallet Tan : 1552,,,,,,,17/03/2020 10:17:36,tan,1552,,1552-tan-,0002697300,1552 TAN,Yes
5060474528870,Active,"X-1552, TAN GLOVING VINTAGE","X-1552, TAN GLOVING VINTAGE WALLET, 187857 TZ 00",ASHWOOD,,,,187857 TZ 00,02/07/2020 12:17:55,tan,1552,,1552-tan-,0002697300,,
5060474525879,Active,1551-RFID / TAN / GLOVING VINTAGE,WALLET,ASHWOOD,,,,,13/02/2020 07:17:58,tan,1551,,1551-tan-,0002697600,,
5060474527187,Active,Ashwood MILLED VT Leather Wallet Tan : 1551,,,,,,,17/03/2020 10:16:59,tan,1551,,1551-tan-,0002697600,1551 TAN,Yes
5060474528849,Active,"X-1551, TAN GLOVING VINTAGE","X-1551, TAN GLOVING VINTAGE WALLET, 187856 TZ 00",ASHWOOD,,,,187856 TZ 00,02/07/2020 12:11:56,tan,1551,,1551-tan-,0002697600,,
5060821282905,Active,NOAH COW VINTAGE TAN VINTAGE,DOCUMENT FOLDER,ASHWOOD,,,,,18/03/2021 08:39:42,tan,noah,,noah-tan-,0003186500,NOAH VINTAGE TAN ,Yes
5060821282905,Active,NOAH COW VINTAGE TAN VINTAGE,DOCUMENT FOLDER,ASHWOOD,,,,,18/03/2021 08:39:42,tan,noah,,noah-tan-,0003186500,NOAH TAN,Yes
5060474525381,Active,FRED VINTAGE TAN VINTAGE,RUCKSACK,ASHWOOD,,,,,11/02/2020 09:02:14,tan,fred,,fred-tan-,0003186600,FRED VINTAGE TAN ,Yes
5060474525381,Active,FRED VINTAGE TAN VINTAGE,RUCKSACK,ASHWOOD,,,,,11/02/2020 09:02:14,tan,fred,,fred-tan-,0003186600,FRED TAN,Yes
5060474525893,Active,ROBIN VINTAGE TAN VIINTAGE,MESSENGER BAG,ASHWOOD,,,,,19/02/2020 10:32:34,tan,robin,,robin-tan-,0003186700,ROBIN VINTAGE TAN ,Yes
5060474525893,Active,ROBIN VINTAGE TAN VIINTAGE,MESSENGER BAG,ASHWOOD,,,,,19/02/2020 10:32:34,tan,robin,,robin-tan-,0003186700,ROBIN TAN,Yes
5060474525411,Active,SEB VINTAGE TAN VINTAGE,WASHBAG,ASHWOOD,,,,,11/02/2020 09:03:30,tan,seb,,seb-tan-,0003186800,SEB VINTAGE TAN ,Yes
5060474525411,Active,SEB VINTAGE TAN VINTAGE,WASHBAG,ASHWOOD,,,,,11/02/2020 09:03:30,tan,seb,,seb-tan-,0003186800,SEB TAN,Yes
5060474525398,Active,PERRY VINTAGE TAN VINTAGE,BODY BAG,ASHWOOD,,,,,11/02/2020 09:02:45,tan,perry,,perry-tan-,0003186900,PERRY VINTAGE TAN ,Yes
5060474525398,Active,PERRY VINTAGE TAN VINTAGE,BODY BAG,ASHWOOD,,,,,11/02/2020 09:02:45,tan,perry,,perry-tan-,0003186900,PERRY TAN,Yes
5060821282875,Active,RALPH COW VINTAGE VINTAGE TAN,COW LEATHER MESSENGER BAG,ASHWOOD,,,,,16/03/2021 12:04:35,tan,ralph,,ralph-tan-,0003187100,RALPH VINTAGE TAN ,Yes
5060821282875,Active,RALPH COW VINTAGE VINTAGE TAN,COW LEATHER MESSENGER BAG,ASHWOOD,,,,,16/03/2021 12:04:35,tan,ralph,,ralph-tan-,0003187100,RALPH TAN,Yes
5060821282882,Active,LAUREN COW VINTAGE VINTAGE TAN,COW LEATHER MESSENGER BAG,ASHWOOD,,,,,16/03/2021 12:05:10,tan,lauren,,lauren-tan-,0003187200,LAUREN VINTAGE TAN ,Yes
5060821282882,Active,LAUREN COW VINTAGE VINTAGE TAN,COW LEATHER MESSENGER BAG,ASHWOOD,,,,,16/03/2021 12:05:10,tan,lauren,,lauren-tan-,0003187200,LAUREN TAN,Yes
5060821288785,Active,"STYLE: 79014, COLOR: CHESTNUT","79014 CHESTNUT, VEG TAN LEATHER (VT)",ASHWOOD,79014,,,,30/08/2022 12:52:54,chestnut,79014,,79014-chestnut-,0003203400,79014 CHESTNUT ,Yes
5060821288785,Active,"STYLE: 79014, COLOR: CHESTNUT","79014 CHESTNUT, VEG TAN LEATHER (VT)",ASHWOOD,79014,,,,30/08/2022 12:52:54,chestnut,79014,,79014-chestnut-,0003203400,79014 CHESTNUT,Yes
5060999706074,Active,79014 BB VT CHESTNUT,CABIN TROLLEY,ASHWOOD,,,,,28/04/2023 11:36:38,chestnut,79014,,79014-chestnut-,0003203400,,
5060474524414,Active,SAVOY GARRY BRANDY,GUNSLIP,,,,,,16/01/2020 08:58:46,brandy,savoy,,savoy-brandy-,0003208500,,
5060821288716,Active,"STYLE: SAVOY, COLOR: BRANDY","GUNSLIP BAG, BRANDY COLOR, OILY BRANDY LEATHER",ASHWOOD,GUN SLIP,,,,26/08/2022 09:38:10,brandy,savoy,,savoy-brandy-,0003208500,SAVOY BRANDY ,Yes
5060474524292,Active,DOUG COW OILY/HARNESS BROWN,MESSENGER BAG,,,,,,15/01/2020 06:56:50,brown,doug,,doug-brown-,0003610400,DOUG TORNADO BROWN,Yes
5060474524292,Active,DOUG COW OILY/HARNESS BROWN,MESSENGER BAG,,,,,,15/01/2020 06:56:50,brown,doug,,doug-brown-,0003610400,DOUG BROWN,Yes
5060474524261,Active,KANE (2918) COW OILY/HARNESS BROWN,BACKPACK,,,,,,15/01/2020 06:45:29,brown,kane,,kane-brown-,0003610500,KANE TORNADO BROWN,Yes
5060474524261,Active,KANE (2918) COW OILY/HARNESS BROWN,BACKPACK,,,,,,15/01/2020 06:45:29,brown,kane,,kane-brown-,0003610500,KANE BROWN,Yes
5060474524254,Active,WALTER COW OILY/HARNESS BROWN,BRIEFCASE,,,,,,15/01/2020 06:40:12,brown,walter,,walter-brown-,0003610700,WALTER TORNADO BROWN,Yes
5060474524254,Active,WALTER COW OILY/HARNESS BROWN,BRIEFCASE,,,,,,15/01/2020 06:40:12,brown,walter,,walter-brown-,0003610700,WALTER BROWN,Yes
5060474524285,Active,TOBY (SS-02-S) COW OILY/HARNESS BROWN,BODY BAG,,,,,,15/01/2020 06:53:30,brown,toby,,toby-brown-,0003610800,TOBY TORNADO BROWN,Yes
5060474524285,Active,TOBY (SS-02-S) COW OILY/HARNESS BROWN,BODY BAG,,,,,,15/01/2020 06:53:30,brown,toby,,toby-brown-,0003610800,TOBY BROWN,Yes
5060821288709,Active,"STYLE: 79014, COLOR: BROWN","CABIN TROLLEY BAG, OXFORD RANGE, OILY HUNTER LEATHER",ASHWOOD,MUD BROWN,,,,26/08/2022 09:19:18,brown,79014,,79014-brown-,0003691900,79014 TORNADO BROWN,Yes
5060821288709,Active,"STYLE: 79014, COLOR: BROWN","CABIN TROLLEY BAG, OXFORD RANGE, OILY HUNTER LEATHER",ASHWOOD,MUD BROWN,,,,26/08/2022 09:19:18,brown,79014,,79014-brown-,0003691900,79014 BROWN,Yes
5060474522830,Active,NORA / OLD REF. 62663 NEW NO.63002 JUPITER MUSTARD,"182048 MD 00 , AW LR NORA CRS BG Mustard",ASHWOOD,REINDEER,,,182048 MD 00,20/10/2019 04:48:11,mustard,62663,,62663-mustard-,0003749700,,
5061049604913,Active,62663 | MUSTARD | Size:ONE SIZE,62663 | MUSTARD | Size:ONE SIZE | Croc-Embossed Leather Crossbody Bag Mustard: 62663,Ashwood,,https://www.leathercompany.co.uk/ladies-c3/leather-handbags-c10/croc-embossed-leather-crossbody-bag-mustard-62663-p8820,,0003749700,20/03/2024 15:49:12,mustard,62663,,62663-mustard-,0003749700,,
5060474526654,Active,Ashwood BUFF CRUMBLE Small Messenger Bag Brandy : G-31,,,,,,,06/03/2020 09:10:15,brandy,g-31,,g-31-brandy-,0003850500,G-31 BRANDY BROWN,Yes
5060474526654,Active,Ashwood BUFF CRUMBLE Small Messenger Bag Brandy : G-31,,,,,,,06/03/2020 09:10:15,brandy,g-31,,g-31-brandy-,0003850500,G-31 BRANDY,Yes
5060474526685,Active,G-32 | TAN | Size:ONE SIZE,G-32 | TAN | Size:ONE SIZE | Medium Vintage Wash Leather Travel Bag Tan: G-32,Ashwood,,https://www.leathercompany.co.uk/ladies-c3/medium-vintage-wash-leather-travel-bag-tan-g-32-p3807,,0003850800,06/03/2020 10:08:57,tan,g-32,,g-32-tan-,0003850800,G-32 BRANDY BROWN,Yes
5060474526685,Active,G-32 | TAN | Size:ONE SIZE,G-32 | TAN | Size:ONE SIZE | Medium Vintage Wash Leather Travel Bag Tan: G-32,Ashwood,,https://www.leathercompany.co.uk/ladies-c3/medium-vintage-wash-leather-travel-bag-tan-g-32-p3807,,0003850800,06/03/2020 10:08:57,tan,g-32,,g-32-tan-,0003850800,G-32 BRANDY,Yes
5060474526715,Active,G-33 | BRANDY | Size:ONE SIZE,G-33 | BRANDY | Size:ONE SIZE | Leather Vintage Medium Flight Shoulder Bag Brandy : G-33,Ashwood,,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/leather-vintage-medium-flight-shoulder-bag-brandy-g-33-p3809,,0003851100,06/03/2020 10:18:34,brandy,g-33,,g-33-brandy-,0003851100,G-33 BRANDY BROWN,Yes
5060474526715,Active,G-33 | BRANDY | Size:ONE SIZE,G-33 | BRANDY | Size:ONE SIZE | Leather Vintage Medium Flight Shoulder Bag Brandy : G-33,Ashwood,,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/leather-vintage-medium-flight-shoulder-bag-brandy-g-33-p3809,,0003851100,06/03/2020 10:18:34,brandy,g-33,,g-33-brandy-,0003851100,G-33 BRANDY,Yes
5060474526746,Active,G-34 | BRANDY | Size:ONE SIZE,G-34 | BRANDY | Size:ONE SIZE | Leather Vintage Laptop Work Bag  Brandy : G-34,Ashwood,,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/leather-vintage-laptop-work-bag-brandy-g-34-p3812,,0003851400,06/03/2020 10:28:23,brandy,g-34,,g-34-brandy-,0003851400,G-34 BRANDY BROWN,Yes
5060474526746,Active,G-34 | BRANDY | Size:ONE SIZE,G-34 | BRANDY | Size:ONE SIZE | Leather Vintage Laptop Work Bag  Brandy : G-34,Ashwood,,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/leather-vintage-laptop-work-bag-brandy-g-34-p3812,,0003851400,06/03/2020 10:28:23,brandy,g-34,,g-34-brandy-,0003851400,G-34 BRANDY,Yes
